country,year,avg_funders
NG,2023,1.0
NI,2016,2.0
NI,2018,1.5
NI,2019,1.0
NI,2021,1.6
NI,2022,1.0
NL,2015,1.9090909090909092
NL,2016,3.5072463768115942
NL,2017,2.4925373134328357
NL,2018,2.1773700305810397
NL,2019,2.7074010327022373
NL,2020,3.002450980392157
NL,2021,2.1299826689774695
NL,2022,2.1029523088569264
NL,2023,2.283410138248848
NO,2014,1.0
NO,2015,2.75
NO,2016,8.4
NO,2017,2.0416666666666665
NO,2018,2.303370786516854
NO,2019,2.090909090909091
NO,2020,3.3902439024390243
NO,2021,2.0508474576271185
NO,2022,2.465909090909091
NO,2023,2.3636363636363638
NP,2018,1.0
NP,2019,2.0
NP,2020,2.6666666666666665
NP,2021,1.1
NP,2022,2.0
NP,2023,2.5
NZ,2015,1.0
NZ,2016,1.5
NZ,2017,1.3636363636363635
NZ,2018,2.054054054054054
NZ,2019,1.7037037037037037
NZ,2020,2.5315315315315314
NZ,2021,1.9230769230769231
NZ,2022,1.7516339869281046
NZ,2023,1.837837837837838
OM,2019,1.5
OM,2020,1.5
OM,2021,2.0
OM,2022,1.25
OM,2023,1.0
PA,2017,2.0
PA,2018,4.0
PA,2020,2.0
PA,2021,2.0
PA,2022,2.75
PA,2023,1.0
PE,2015,2.0
PE,2016,2.3333333333333335
PE,2017,1.5
PE,2018,1.0
PE,2019,1.625
PE,2020,1.6363636363636365
PE,2021,1.6666666666666667
PE,2022,2.106382978723404
PE,2023,2.0
PF,2021,1.0
PF,2022,1.0
PG,2020,5.0
PH,2016,1.0
PH,2018,2.5
PH,2019,2.0
PH,2020,1.3333333333333333
PH,2021,2.2
PH,2022,1.2857142857142858
PH,2023,2.0
PK,2016,2.2
PK,2017,3.0
PK,2018,1.4705882352941178
PK,2019,1.837837837837838
PK,2020,1.5454545454545454
PK,2021,1.7378640776699028
PK,2022,1.4610389610389611
PK,2023,1.3888888888888888
PL,2016,1.5
PL,2017,1.7142857142857142
PL,2018,1.509090909090909
PL,2019,1.4573170731707317
PL,2020,1.418043202033037
PL,2021,1.3085545722713865
PL,2022,1.3106796116504855
PL,2023,1.308880308880309
PS,2019,3.0
PS,2020,1.0
PS,2021,7.0
PS,2022,2.0
PT,2015,1.0
PT,2016,2.5
PT,2017,1.16
PT,2018,1.6067415730337078
PT,2019,2.010869565217391
PT,2020,2.08584686774942
PT,2021,1.8696296296296295
PT,2022,1.7269372693726937
PT,2023,1.924731182795699
PY,2016,1.0
PY,2018,1.0
PY,2021,1.0
PY,2022,3.0
QA,2017,1.0
QA,2018,1.0
QA,2019,1.9090909090909092
QA,2020,1.4193548387096775
QA,2021,1.255813953488372
QA,2022,1.725
QA,2023,1.6666666666666667
RE,2021,1.0
RE,2022,1.0
RE,2023,1.0
RO,2016,2.0
RO,2018,1.0
RO,2019,1.5
RO,2020,1.4166666666666667
RO,2021,1.2851063829787235
RO,2022,1.2870662460567823
RO,2023,1.4745762711864407
RS,2017,1.0
RS,2018,1.0454545454545454
RS,2019,1.8636363636363635
RS,2020,1.6923076923076923
RS,2021,1.6511627906976745
RS,2022,1.6642335766423357
RS,2023,1.2941176470588236
RU,2016,1.5454545454545454
RU,2017,1.8461538461538463
RU,2018,1.639344262295082
RU,2019,1.6504065040650406
RU,2020,1.7450980392156863
RU,2021,1.608695652173913
RU,2022,1.3101851851851851
RU,2023,1.4889867841409692
RW,2016,1.0
RW,2018,3.0
RW,2019,3.0
RW,2020,4.0
RW,2021,1.6666666666666667
RW,2022,1.0
