inst_a,country_a,inst_b,country_b,collab_count
University of Sharjah,AE,University of Lübeck,DE,1
Zayed University,AE,University of Würzburg,DE,1
Ajman University,AE,Technical University of Denmark,DK,1
Al Ain Hospital,AE,University of Southern Denmark,DK,3
Mediclinic City Hospital,AE,Rigshospitalet,DK,1
New York University Abu Dhabi,AE,University of Copenhagen,DK,1
Zayed University,AE,University of Copenhagen,DK,1
New York University Abu Dhabi,AE,University of Abou Bekr Belkaïd,DZ,1
Abu Dhabi National Oil (United Arab Emirates),AE,Sohag University,EG,1
Abu Dhabi University,AE,Alexandria University,EG,3
Abu Dhabi University,AE,Assiut University,EG,2
Abu Dhabi University,AE,Desert Research Center,EG,4
Abu Dhabi University,AE,Mansoura University,EG,6
Abu Dhabi University,AE,Menoufia University,EG,3
Ajman University,AE,Minia University,EG,1
Al Ain University of Science and Technology,AE,Assiut University,EG,1
Al Ain University of Science and Technology,AE,South Valley University,EG,1
Dubai Medical College,AE,National Research Centre,EG,1
Gulf Medical University,AE,Ain Shams University,EG,1
Gulf Medical University,AE,Cairo University,EG,3
Gulf Medical University,AE,Minia University,EG,4
Higher Colleges of Technology,AE,Minia University,EG,1
Khalifa University of Science and Technology,AE,Cairo University,EG,4
New York University Abu Dhabi,AE,American University in Cairo,EG,1
Sheikh Shakhbout Medical City,AE,Ain Shams University,EG,1
Skyline University College,AE,Minia University,EG,1
United Arab Emirates University,AE,Alexandria University,EG,1
United Arab Emirates University,AE,Assiut University,EG,1
United Arab Emirates University,AE,Damanhour University,EG,1
United Arab Emirates University,AE,Suez Canal University,EG,1
United Arab Emirates University,AE,Zagazig University,EG,1
University of Sharjah,AE,Ain Shams University,EG,1
University of Sharjah,AE,Al Azhar University,EG,1
University of Sharjah,AE,Alexandria University,EG,3
University of Sharjah,AE,Badr University in Cairo,EG,1
University of Sharjah,AE,Benha University,EG,1
University of Sharjah,AE,Beni-Suef University,EG,1
University of Sharjah,AE,Children Cancer Hospital,EG,1
University of Sharjah,AE,Mansoura University,EG,1
University of Sharjah,AE,Tanta University,EG,2
Zayed University,AE,Assiut University,EG,1
Zayed University,AE,Desert Research Center,EG,1
Zayed University,AE,Mansoura University,EG,1
Zayed University,AE,Minia University,EG,1
Ajman University,AE,Bellvitge University Hospital,ES,1
Ajman University,AE,University of Granada,ES,1
Al Ain Hospital,AE,University of A Coruña,ES,1
Al Ain University of Science and Technology,AE,Centro de Investigación Biomédica en Red de Epidemiología y Salud Pública,ES,1
Al Ain University of Science and Technology,AE,Instituto de Investigación Biosanitaria,ES,1
Al Ain University of Science and Technology,AE,University of Granada,ES,1
IVI Middle East Fertility Clinic,AE,Centro de Infertilidad y Reproducción Humana,ES,1
Khalifa University of Science and Technology,AE,University of Navarra,ES,1
Khalifa University of Science and Technology,AE,University of the Basque Country,ES,1
New York University Abu Dhabi,AE,Instituto de Ciencia de Materiales de Madrid,ES,1
New York University Abu Dhabi,AE,Spanish National Research Council,ES,1
Sheikh Shakhbout Medical City,AE,Instituto Hispalense de Pediatria,ES,1
United Arab Emirates University,AE,Ingeniatrics Tecnologías (Spain),ES,1
United Arab Emirates University,AE,Spanish National Research Council,ES,1
United Arab Emirates University,AE,Addis Ababa University,ET,1
Khalifa University of Science and Technology,AE,University of Eastern Finland,FI,1
United Arab Emirates University,AE,University of Helsinki,FI,1
United Arab Emirates University,AE,University of Jyväskylä,FI,2
Dubai Medical College,AE,Centre Orthopédique Santy,FR,2
Khalifa University of Science and Technology,AE,Inserm,FR,1
Khalifa University of Science and Technology,AE,Institut de Neurosciences de la Timone,FR,1
Khalifa University of Science and Technology,AE,Matériaux Ingénierie et Science,FR,1
Khalifa University of Science and Technology,AE,Mines Saint-Étienne,FR,1
Khalifa University of Science and Technology,AE,Université Paris Cité,FR,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,University of Rouen,FR,1
United Arab Emirates University,AE,Centre de Recherche Cardio-Thoracique de Bordeaux,FR,1
United Arab Emirates University,AE,François Rabelais University,FR,1
University of Sharjah,AE,"Chemistry And Interdisciplinarité, Synthesis, Analyze, Modeling",FR,1
Abu Dhabi Health Services,AE,Moorfields Eye Hospital,GB,1
Ajman University,AE,Manchester Metropolitan University,GB,1
Ajman University,AE,Staffordshire University,GB,3
Ajman University,AE,The Francis Crick Institute,GB,1
Ajman University,AE,University of Aberdeen,GB,1
Ajman University,AE,University of the West of England,GB,1
Al Ain University of Science and Technology,AE,University of Portsmouth,GB,1
American University of Ras Al Khaimah,AE,University of Hertfordshire,GB,1
British University in Dubai,AE,Robert Gordon University,GB,1
Dubai Medical College,AE,Nottingham Trent University,GB,1
Dubai Medical College,AE,Sandwell & West Birmingham Hospitals NHS Trust,GB,1
Dubai Medical College,AE,Wolverhampton Hospital,GB,1
Emirates Foundation,AE,London School of Economics and Political Science,GB,1
Healthpoint,AE,Manchester University NHS Foundation Trust,GB,1
Healthpoint,AE,St George's Hospital,GB,1
Higher Colleges of Technology,AE,University of Westminster,GB,1
Khalifa University of Science and Technology,AE,Coventry (United Kingdom),GB,1
Khalifa University of Science and Technology,AE,Imperial College London,GB,1
Khalifa University of Science and Technology,AE,Oxford Brookes University,GB,1
Khalifa University of Science and Technology,AE,Pfizer (United Kingdom),GB,1
Khalifa University of Science and Technology,AE,University of Cambridge,GB,2
Khalifa University of Science and Technology,AE,University of Lincoln,GB,1
Khalifa University of Science and Technology,AE,University of Liverpool,GB,2
Khalifa University of Science and Technology,AE,University of Manchester,GB,1
Khalifa University of Science and Technology,AE,University of Nottingham,GB,1
Khalifa University of Science and Technology,AE,University of Southampton,GB,1
Khalifa University of Science and Technology,AE,University of Surrey,GB,2
Mohamed bin Zayed University of Artificial Intelligence,AE,University of Brighton,GB,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,Manchester Academic Health Science Centre,GB,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,Newcastle University,GB,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,Newcastle upon Tyne Hospitals NHS Foundation Trust,GB,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,Queen's University Belfast,GB,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,University of Nottingham,GB,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,University of Ulster,GB,1
New York University Abu Dhabi,AE,Pfizer (United Kingdom),GB,1
Ras al-Khaimah Medical and Health Sciences University,AE,University of Greenwich,GB,1
Sheikh Shakhbout Medical City,AE,Sandwell & West Birmingham Hospitals NHS Trust,GB,1
United Arab Emirates University,AE,King's College London,GB,1
United Arab Emirates University,AE,University of Central Lancashire,GB,2
United Arab Emirates University,AE,University of Hull,GB,1
United Arab Emirates University,AE,University of Leeds,GB,1
University of Sharjah,AE,Keele University,GB,1
University of Sharjah,AE,Liverpool John Moores University,GB,1
University of Sharjah,AE,University of Aberdeen,GB,1
University of Sharjah,AE,University of Bradford,GB,1
University of Sharjah,AE,University of Central Lancashire,GB,1
University of Sharjah,AE,University of Kent,GB,1
University of Sharjah,AE,University of Liverpool,GB,1
University of Sharjah,AE,University of Nottingham,GB,1
Zayed University,AE,Golden Helix Foundation,GB,1
Zayed University,AE,Queen Mary University of London,GB,1
Zayed University,AE,University of Central Lancashire,GB,1
Zayed University,AE,University of Leicester,GB,1
United Arab Emirates University,AE,Kwame Nkrumah University of Science and Technology,GH,1
Khalifa University of Science and Technology,AE,Aristotle University of Thessaloniki,GR,1
Khalifa University of Science and Technology,AE,Hellenic Mediterranean University,GR,1
Khalifa University of Science and Technology,AE,National Technical University of Athens,GR,1
Latifa Hospital,AE,University of Ioannina,GR,1
Mafraq Hospital,AE,University Hospital of Alexandroupolis,GR,1
University of Sharjah,AE,Aristotle University of Thessaloniki,GR,1
Zayed University,AE,Aristotle University of Thessaloniki,GR,1
Zayed University,AE,National and Kapodistrian University of Athens,GR,2
Zayed University,AE,"National Centre of Scientific Research ""Demokritos""",GR,1
Zayed University,AE,National Hellenic Research Foundation,GR,2
Zayed University,AE,Pasteur Hellenic Institute,GR,1
Zayed University,AE,University of Patras,GR,1
Zayed University,AE,University of the Aegean,GR,1
Khalifa University of Science and Technology,AE,University of Debrecen,HU,1
Khalifa University of Science and Technology,AE,University of Szeged,HU,1
Ajman University,AE,Airlangga University,ID,1
Higher Colleges of Technology,AE,University of Brawijaya,ID,1
Dubai Medical College,AE,Royal College of Surgeons in Ireland,IE,1
University of Sharjah,AE,University of Limerick,IE,1
Dubai Medical College,AE,Meir Medical Center,IL,1
Abu Dhabi Health Services,AE,Centre for Sight,IN,1
Abu Dhabi Health Services,AE,Post Graduate Institute of Medical Education and Research,IN,1
Abu Dhabi University,AE,Maharshi Dayanand University,IN,1
Ajman University,AE,Academy of Scientific and Innovative Research,IN,1
Ajman University,AE,B.J. Medical College,IN,1
Ajman University,AE,Dr D Y Patil Dental College & Hospital,IN,1
Ajman University,AE,Indian Institute of Technology BHU,IN,1
Ajman University,AE,Indian Institute of Technology Delhi,IN,1
Ajman University,AE,Indira Gandhi National Tribal University,IN,1
Ajman University,AE,Jamia Millia Islamia,IN,2
Ajman University,AE,Maharaja Engineering College,IN,1
Ajman University,AE,"Maharishi Markandeshwar University, Mullana",IN,1
Ajman University,AE,Saveetha University,IN,3
Ajman University,AE,SRM University,IN,1
Ajman University,AE,Vellore Institute of Technology University,IN,1
Al Jalila Foundation,AE,Indian Institute of Technology Kanpur,IN,1
Amity University,AE,Bennett University,IN,1
Amity University,AE,Dr. B. R. Ambedkar National Institute of Technology Jalandhar,IN,1
Amity University,AE,Hindustan Institute of Technology and Science,IN,1
Dubai Medical College,AE,Command Hospital,IN,1
Dubai Medical College,AE,Kolkata Municipal Corporation,IN,1
Gulf Medical University,AE,Assam University,IN,2
Gulf Medical University,AE,B.J. Medical College,IN,1
Gulf Medical University,AE,Bharath University,IN,2
Gulf Medical University,AE,Guru Jambheshwar University of Science and Technology,IN,1
Gulf Medical University,AE,Institute for Stem Cell Biology and Regenerative Medicine,IN,1
Gulf Medical University,AE,"Maharishi Markandeshwar University, Mullana",IN,1
Gulf Medical University,AE,Ramakrishna Mission Vivekananda Educational and Research Institute,IN,1
Gulf Medical University,AE,University of Petroleum and Energy Studies,IN,1
Gulf Medical University,AE,University of Trans-Disciplinary Health Sciences and Technology,IN,1
Higher Colleges of Technology,AE,Advanced Numerical Research and Analysis Group,IN,1
Higher Colleges of Technology,AE,Guru Angad Dev Veterinary and Animal Sciences University,IN,1
Higher Colleges of Technology,AE,National Institute of Epidemiology,IN,1
Khalifa University of Science and Technology,AE,"Indian Institute of Science Education and Research, Tirupati",IN,1
Khalifa University of Science and Technology,AE,JSS University,IN,2
Khalifa University of Science and Technology,AE,Maulana Azad National Institute of Technology,IN,1
Khalifa University of Science and Technology,AE,Saveetha University,IN,1
Mediclinic City Hospital,AE,Max Super Speciality Hospital,IN,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,Academy of Scientific and Innovative Research,IN,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,Jawaharlal Institute of Post Graduate Medical Education and Research,IN,3
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,Manipal Academy of Higher Education,IN,1
Ras al-Khaimah Medical and Health Sciences University,AE,University of Kashmir,IN,1
Rochester Institute of Technology - Dubai,AE,SRM Institute of Science and Technology,IN,1
Shaikh Khalifa Medical City,AE,Post Graduate Institute of Medical Education and Research,IN,2
United Arab Emirates University,AE,Delhi Pharmaceutical Science and Research University,IN,1
United Arab Emirates University,AE,IEC University,IN,1
United Arab Emirates University,AE,Lovely Professional University,IN,2
United Arab Emirates University,AE,Parul University,IN,1
United Arab Emirates University,AE,Sharda University,IN,1
United Arab Emirates University,AE,Shri Vile Parle Kelavani Mandal,IN,4
University of Modern Sciences,AE,Indian Institute of Technology Kanpur,IN,1
University of Sharjah,AE,Indo Soviet Friendship College of Pharmacy,IN,1
University of Sharjah,AE,JSS University,IN,1
University of Sharjah,AE,Manipal Academy of Higher Education,IN,1
University of Sharjah,AE,"Medical College and Hospital, Kolkata",IN,1
University of Sharjah,AE,Sir Ganga Ram Hospital,IN,1
University of Sharjah,AE,University of Kashmir,IN,1
University of Sharjah,AE,Yenepoya University,IN,1
Abu Dhabi Health Services,AE,Lebanese French University,IQ,1
Ajman University,AE,Lebanese French University,IQ,1
Ajman University,AE,University of Kufa,IQ,1
British University in Dubai,AE,Dijlah University College,IQ,1
Dubai Health Authority,AE,Lebanese French University,IQ,1
Gulf Medical University,AE,University of Karbala,IQ,1
United Arab Emirates University,AE,University of Al-Qadisiyah,IQ,2
University of Sharjah,AE,University of Mosul,IQ,1
United Arab Emirates University,AE,Biotechnology Research Center,IR,1
Abu Dhabi Health Services,AE,Istituti di Ricovero e Cura a Carattere Scientifico,IT,1
Abu Dhabi Health Services,AE,University of Modena and Reggio Emilia,IT,1
Abu Dhabi University,AE,Sapienza University of Rome,IT,2
American University of Sharjah,AE,Sapienza University of Rome,IT,2
Gulf Medical University,AE,"University of Campania ""Luigi Vanvitelli""",IT,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,IT,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,University of Insubria,IT,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,University of Milan,IT,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,University of Rome Tor Vergata,IT,1
New York University Abu Dhabi,AE,European Molecular Biology Laboratory,IT,1
New York University Abu Dhabi,AE,Istituti di Ricovero e Cura a Carattere Scientifico,IT,1
New York University Abu Dhabi,AE,University of Pisa,IT,1
Sheikh Shakhbout Medical City,AE,Istituti Ospitalieri di Cremona,IT,1
United Arab Emirates University,AE,Istituto Superiore di Sanità,IT,1
United Arab Emirates University,AE,LUM Jean Monnet University,IT,1
United Arab Emirates University,AE,"University of Campania ""Luigi Vanvitelli""",IT,1
United Arab Emirates University,AE,University of Insubria,IT,1
United Arab Emirates University,AE,University of Modena and Reggio Emilia,IT,1
United Arab Emirates University,AE,University of Perugia,IT,1
University of Sharjah,AE,Azienda Ospedaliero-Universitaria Careggi,IT,2
University of Sharjah,AE,Ospedali Riuniti San Giovanni di Dio e Ruggi d'Aragona,IT,1
University of Sharjah,AE,University of Catania,IT,1
University of Sharjah,AE,University of Messina,IT,1
University of Sharjah,AE,University of Sassari,IT,1
Al Ain University of Science and Technology,AE,Al-Zaytoonah University of Jordan,JO,1
Al Ain University of Science and Technology,AE,Jordan University of Science and Technology,JO,2
Higher Colleges of Technology,AE,Al al-Bayt University,JO,1
Higher Colleges of Technology,AE,Applied Science Private University,JO,1
Higher Colleges of Technology,AE,Zarqa University,JO,1
Khalifa University of Science and Technology,AE,Applied Science Private University,JO,1
Khalifa University of Science and Technology,AE,Jordan University of Science and Technology,JO,1
Mohamed bin Zayed University of Artificial Intelligence,AE,Jordan University of Science and Technology,JO,1
Skyline University College,AE,Zarqa University,JO,1
United Arab Emirates University,AE,Jordan University of Science and Technology,JO,1
University of Sharjah,AE,Al-Balqa Applied University,JO,1
University of Sharjah,AE,Applied Science Private University,JO,1
University of Sharjah,AE,Jordan University of Science and Technology,JO,3
University of Sharjah,AE,University of Jordan,JO,3
University of Sharjah,AE,Yarmouk University,JO,1
Khalifa University of Science and Technology,AE,Toho University,JP,1
Khalifa University of Science and Technology,AE,Yamagata University,JP,1
United Arab Emirates University,AE,Tokyo Polytechnic University,JP,1
University of Dubai,AE,Toho University,JP,1
University of Dubai,AE,Yamagata University,JP,1
Ajman University,AE,Chung-Ang University,KR,2
Ajman University,AE,Chungnam National University,KR,1
Al Ain University of Science and Technology,AE,Gachon University,KR,1
Healthpoint,AE,Korea University,KR,1
Healthpoint,AE,Korea University Medical Center,KR,1
Khalifa University of Science and Technology,AE,Yonsei University,KR,1
New York University Abu Dhabi,AE,National Institute of Environmental Research,KR,1
Skyline University College,AE,Gachon University,KR,1
Skyline University College,AE,Kuwait University,KW,1
Khalifa University of Science and Technology,AE,Nazarbayev University,KZ,1
United Arab Emirates University,AE,Lebanese American University,LB,1
University of Sharjah,AE,American University of Beirut Medical Center,LB,1
University of Sharjah,AE,Lithuanian University of Health Sciences,LT,1
University of Sharjah,AE,Vilnius University,LT,1
United Arab Emirates University,AE,Mohammed V University,MA,1
University of Sharjah,AE,Centre Hospitalier Universitaire Hassan II,MA,1
Abu Dhabi Health Services,AE,Universiti Sains Malaysia,MY,1
Abu Dhabi University,AE,International Medical University,MY,1
Abu Dhabi University,AE,Universiti Sains Malaysia,MY,1
Ajman University,AE,Universiti Sains Malaysia,MY,1
Ajman University,AE,University of Malaya,MY,2
Dubai Health Authority,AE,Universiti Sains Malaysia,MY,1
