country,year,author_count
GH,2020,70
GH,2021,81
GH,2022,106
GH,2023,20
GI,2019,1
GI,2021,1
GI,2022,1
GL,2017,1
GL,2019,1
GL,2021,2
GL,2022,2
GM,2017,1
GM,2018,3
GM,2019,4
GM,2020,5
GM,2021,6
GM,2022,4
GM,2023,4
GN,2016,1
GN,2017,1
GN,2019,2
GN,2020,1
GN,2021,1
GN,2022,2
GP,2017,2
GP,2018,1
GP,2019,1
GP,2020,2
GP,2022,7
GR,2005,1
GR,2012,1
GR,2014,24
GR,2015,11
GR,2016,53
GR,2017,112
GR,2018,227
GR,2019,358
GR,2020,555
GR,2021,787
GR,2022,1111
GR,2023,302
GT,2017,1
GT,2018,1
GT,2020,5
GT,2021,3
GT,2022,15
GT,2023,1
GW,2017,1
GW,2020,4
GW,2021,1
GW,2022,1
GY,2015,1
HN,2020,1
HN,2021,3
HN,2022,4
HN,2023,3
HR,2015,1
HR,2016,8
HR,2017,29
HR,2018,65
HR,2019,71
HR,2020,146
HR,2021,247
HR,2022,337
HR,2023,119
HT,2021,2
HT,2023,1
HU,2014,8
HU,2015,9
HU,2016,25
HU,2017,70
HU,2018,141
HU,2019,202
HU,2020,320
HU,2021,432
HU,2022,530
HU,2023,109
ID,2014,2
ID,2015,3
ID,2016,5
ID,2017,18
ID,2018,45
ID,2019,100
ID,2020,204
ID,2021,275
ID,2022,364
ID,2023,93
IE,2014,2
IE,2015,17
IE,2016,48
IE,2017,117
IE,2018,209
IE,2019,332
IE,2020,463
IE,2021,577
IE,2022,680
IE,2023,217
IL,2008,1
IL,2014,5
IL,2015,24
IL,2016,43
IL,2017,143
IL,2018,323
IL,2019,414
IL,2020,575
IL,2021,846
IL,2022,1044
IL,2023,276
IN,2014,47
IN,2015,24
IN,2016,112
IN,2017,376
IN,2018,805
IN,2019,1221
IN,2020,1791
IN,2021,2828
IN,2022,3909
IN,2023,1068
IQ,2013,1
IQ,2017,4
IQ,2018,12
IQ,2019,25
IQ,2020,44
IQ,2021,54
IQ,2022,83
IQ,2023,15
IR,2013,1
IR,2014,13
IR,2015,6
IR,2016,39
IR,2017,128
IR,2018,385
IR,2019,754
IR,2020,1143
IR,2021,1644
IR,2022,2170
IR,2023,483
IS,2015,2
IS,2016,4
IS,2017,11
IS,2018,28
IS,2019,35
IS,2020,34
IS,2021,53
IS,2022,78
IS,2023,15
IT,2012,6
IT,2013,5
IT,2014,206
IT,2015,170
IT,2016,495
IT,2017,1600
IT,2018,2820
IT,2019,4089
IT,2020,6223
IT,2021,8879
IT,2022,10425
