country,organ,year,author_count
AM,brain,2022,8
AM,brain,2023,2
AM,eye,2022,1
AM,heart,2020,3
AM,heart,2021,6
AM,heart,2022,7
AM,kidney,2022,1
AM,knee,2021,1
AM,liver,2018,1
AM,liver,2019,1
AM,liver,2020,2
AM,liver,2021,1
AM,liver,2022,1
AM,lung,2020,5
AM,lung,2021,2
AM,prostate,2023,1
AM,skeletal,2021,1
AM,skin,2019,1
AM,skin,2021,3
AM,skin,2023,6
AM,small intestine,2019,1
AM,spinal cord,2022,1
AO,heart,2017,1
AO,heart,2019,2
AO,heart,2020,1
AO,heart,2021,1
AO,heart,2022,1
AO,kidney,2021,1
AO,kidney,2022,2
AR,bone marrow,2014,3
AR,bone marrow,2016,3
AR,bone marrow,2018,3
AR,bone marrow,2019,3
AR,bone marrow,2020,4
AR,bone marrow,2022,1
AR,brain,2014,1
AR,brain,2015,1
AR,brain,2016,5
AR,brain,2017,17
AR,brain,2018,26
AR,brain,2019,33
AR,brain,2020,33
AR,brain,2021,69
AR,brain,2022,67
AR,brain,2023,10
AR,eye,2017,3
AR,eye,2018,2
AR,eye,2019,2
AR,eye,2020,6
AR,eye,2021,11
AR,eye,2022,9
AR,eye,2023,3
AR,fallopian tube,2018,1
AR,fallopian tube,2019,2
AR,fallopian tube,2020,4
AR,heart,2016,3
AR,heart,2017,6
AR,heart,2018,9
AR,heart,2019,10
AR,heart,2020,30
AR,heart,2021,50
AR,heart,2022,56
AR,heart,2023,3
AR,kidney,2016,4
AR,kidney,2017,4
AR,kidney,2018,9
AR,kidney,2019,6
AR,kidney,2020,19
AR,kidney,2021,32
AR,kidney,2022,45
AR,kidney,2023,19
AR,knee,2018,3
AR,knee,2019,2
AR,knee,2020,2
AR,knee,2021,4
AR,knee,2022,3
AR,knee,2023,2
AR,liver,2014,3
AR,liver,2016,4
AR,liver,2017,15
AR,liver,2018,23
AR,liver,2019,29
AR,liver,2020,49
AR,liver,2021,86
AR,liver,2022,100
AR,liver,2023,28
AR,lung,2017,3
AR,lung,2018,7
AR,lung,2019,23
AR,lung,2020,15
AR,lung,2021,32
AR,lung,2022,51
AR,lung,2023,5
AR,lymph node,2017,1
AR,lymph node,2018,2
AR,lymph node,2019,4
AR,lymph node,2020,4
AR,lymph node,2021,3
AR,lymph node,2022,15
AR,lymph node,2023,6
AR,ovary,2016,1
AR,ovary,2017,1
AR,ovary,2018,3
AR,ovary,2019,9
AR,ovary,2020,13
AR,ovary,2021,11
AR,ovary,2022,10
AR,pancreas,2018,1
AR,pancreas,2019,4
AR,pancreas,2020,4
AR,pancreas,2021,2
AR,pancreas,2022,4
AR,pancreas,2023,6
AR,pelvis,2017,1
AR,pelvis,2019,1
AR,pelvis,2020,1
AR,pelvis,2022,1
AR,peripheral nervous system,2019,1
AR,peripheral nervous system,2022,1
AR,peripheral nervous system,2023,1
AR,placenta,2017,2
AR,placenta,2018,5
AR,placenta,2019,2
AR,placenta,2020,5
AR,placenta,2021,8
AR,placenta,2022,12
AR,placenta,2023,5
AR,prostate,2017,2
AR,prostate,2018,2
AR,prostate,2019,7
AR,prostate,2020,6
AR,prostate,2021,14
AR,prostate,2022,10
AR,prostate,2023,2
AR,skeletal,2016,1
AR,skeletal,2017,2
AR,skeletal,2018,8
AR,skeletal,2019,3
AR,skeletal,2020,12
AR,skeletal,2021,13
AR,skeletal,2022,13
AR,skeletal,2023,6
AR,skin,2016,2
AR,skin,2017,3
AR,skin,2018,12
AR,skin,2019,14
AR,skin,2020,16
AR,skin,2021,36
AR,skin,2022,46
AR,skin,2023,9
AR,small intestine,2017,1
AR,small intestine,2019,2
AR,small intestine,2021,4
AR,small intestine,2022,2
AR,spinal cord,2014,1
AR,spinal cord,2016,1
AR,spinal cord,2017,1
AR,spinal cord,2018,1
AR,spinal cord,2019,1
AR,spinal cord,2020,7
AR,spinal cord,2021,18
AR,spinal cord,2022,9
AR,spleen,2018,2
AR,spleen,2019,2
AR,spleen,2020,1
AR,spleen,2022,1
AR,thymus,2018,1
AR,thymus,2019,4
AR,thymus,2020,1
AR,thymus,2021,1
AR,trachea,2016,1
AR,trachea,2017,1
AR,trachea,2021,2
AR,trachea,2022,6
AR,ureter,2017,1
AR,ureter,2019,1
AR,ureter,2021,7
AR,ureter,2022,1
AR,urinary bladder,2017,1
AR,urinary bladder,2018,1
AR,urinary bladder,2019,2
AR,urinary bladder,2020,2
AR,urinary bladder,2021,3
AR,urinary bladder,2022,1
AR,uterus,2016,2
AR,uterus,2017,1
AR,uterus,2020,7
AR,uterus,2021,4
AR,uterus,2022,6
AR,uterus,2023,1
AT,bone marrow,2015,2
AT,bone marrow,2016,2
AT,bone marrow,2017,7
AT,bone marrow,2018,5
AT,bone marrow,2019,15
AT,bone marrow,2020,37
AT,bone marrow,2021,26
AT,bone marrow,2022,16
AT,brain,2004,1
AT,brain,2014,5
AT,brain,2015,4
AT,brain,2016,21
AT,brain,2017,45
AT,brain,2018,102
AT,brain,2019,162
AT,brain,2020,192
AT,brain,2021,239
AT,brain,2022,275
AT,brain,2023,68
AT,eye,2014,2
AT,eye,2016,3
AT,eye,2017,8
AT,eye,2018,15
AT,eye,2019,10
AT,eye,2020,35
AT,eye,2021,44
AT,eye,2022,46
AT,eye,2023,8
AT,fallopian tube,2021,2
AT,fallopian tube,2022,1
AT,heart,2014,6
AT,heart,2015,1
AT,heart,2016,10
AT,heart,2017,23
AT,heart,2018,66
AT,heart,2019,70
AT,heart,2020,130
AT,heart,2021,161
AT,heart,2022,218
AT,heart,2023,55
AT,kidney,2014,1
AT,kidney,2015,3
AT,kidney,2016,8
AT,kidney,2017,21
AT,kidney,2018,35
AT,kidney,2019,42
AT,kidney,2020,75
AT,kidney,2021,103
AT,kidney,2022,85
AT,kidney,2023,14
AT,knee,2013,1
AT,knee,2014,8
AT,knee,2016,1
AT,knee,2017,4
AT,knee,2018,4
AT,knee,2019,12
AT,knee,2020,14
AT,knee,2021,35
AT,knee,2022,38
AT,knee,2023,13
AT,large intestine,2015,2
AT,large intestine,2018,3
AT,liver,2015,3
AT,liver,2016,7
AT,liver,2017,40
AT,liver,2018,76
AT,liver,2019,107
AT,liver,2020,149
AT,liver,2021,206
AT,liver,2022,217
AT,liver,2023,61
AT,lung,2015,1
AT,lung,2016,2
AT,lung,2017,21
AT,lung,2018,37
AT,lung,2019,64
AT,lung,2020,87
AT,lung,2021,168
AT,lung,2022,123
AT,lung,2023,18
AT,lymph node,2017,6
AT,lymph node,2018,11
AT,lymph node,2019,8
AT,lymph node,2020,18
AT,lymph node,2021,12
AT,lymph node,2022,42
AT,lymph node,2023,6
AT,muscular system,2018,1
AT,muscular system,2019,1
AT,ovary,2017,3
AT,ovary,2018,5
AT,ovary,2019,13
AT,ovary,2020,10
AT,ovary,2021,13
AT,ovary,2022,9
AT,ovary,2023,2
AT,pancreas,2017,1
AT,pancreas,2018,5
AT,pancreas,2019,2
AT,pancreas,2020,12
AT,pancreas,2021,10
AT,pancreas,2022,13
AT,pancreas,2023,1
AT,pelvis,2018,1
AT,pelvis,2019,2
AT,pelvis,2020,5
AT,pelvis,2021,8
AT,pelvis,2022,3
AT,pelvis,2023,4
AT,peripheral nervous system,2019,2
AT,peripheral nervous system,2020,1
AT,peripheral nervous system,2021,5
AT,peripheral nervous system,2022,2
AT,placenta,2014,1
AT,placenta,2015,1
AT,placenta,2016,3
AT,placenta,2017,4
AT,placenta,2018,17
AT,placenta,2019,15
AT,placenta,2020,22
AT,placenta,2021,44
AT,placenta,2022,40
AT,placenta,2023,2
AT,prostate,2016,3
AT,prostate,2017,5
AT,prostate,2018,25
AT,prostate,2019,7
AT,prostate,2020,39
AT,prostate,2021,56
AT,prostate,2022,52
AT,prostate,2023,17
AT,skeletal,2015,3
AT,skeletal,2016,6
AT,skeletal,2017,24
AT,skeletal,2018,21
AT,skeletal,2019,46
AT,skeletal,2020,60
AT,skeletal,2021,59
AT,skeletal,2022,55
AT,skeletal,2023,15
AT,skin,2014,2
AT,skin,2015,4
AT,skin,2016,7
AT,skin,2017,19
AT,skin,2018,41
AT,skin,2019,59
AT,skin,2020,96
AT,skin,2021,138
AT,skin,2022,126
AT,skin,2023,66
AT,small intestine,2018,1
AT,small intestine,2020,3
AT,small intestine,2021,3
AT,small intestine,2022,2
AT,spinal cord,2015,1
AT,spinal cord,2016,1
AT,spinal cord,2017,3
AT,spinal cord,2018,9
AT,spinal cord,2019,8
AT,spinal cord,2020,13
AT,spinal cord,2021,18
AT,spinal cord,2022,36
AT,spinal cord,2023,6
AT,spleen,2016,2
AT,spleen,2017,3
AT,spleen,2018,8
AT,spleen,2019,14
AT,spleen,2020,5
AT,spleen,2021,21
AT,spleen,2022,10
AT,thymus,2016,1
AT,thymus,2018,1
AT,thymus,2019,7
AT,thymus,2020,8
AT,thymus,2021,10
AT,thymus,2022,3
AT,trachea,2016,2
AT,trachea,2017,2
AT,trachea,2018,1
AT,trachea,2019,1
AT,trachea,2020,5
AT,trachea,2021,5
AT,trachea,2022,1
AT,trachea,2023,3
AT,ureter,2016,1
AT,ureter,2017,1
AT,ureter,2018,1
AT,ureter,2020,4
AT,ureter,2021,5
AT,ureter,2022,20
AT,ureter,2023,7
AT,urinary bladder,2017,2
AT,urinary bladder,2018,5
AT,urinary bladder,2019,4
AT,urinary bladder,2020,9
AT,urinary bladder,2021,18
AT,urinary bladder,2022,27
AT,urinary bladder,2023,11
AT,uterus,2018,3
AT,uterus,2019,6
AT,uterus,2020,5
AT,uterus,2021,4
AT,uterus,2022,5
AU,blood vasculature,2018,2
AU,blood vasculature,2023,5
AU,bone marrow,2014,2
AU,bone marrow,2015,2
AU,bone marrow,2016,13
AU,bone marrow,2017,17
AU,bone marrow,2018,49
AU,bone marrow,2019,66
AU,bone marrow,2020,53
AU,bone marrow,2021,106
AU,bone marrow,2022,65
AU,bone marrow,2023,6
AU,brain,2004,1
AU,brain,2006,1
AU,brain,2013,4
AU,brain,2014,10
AU,brain,2015,32
AU,brain,2016,86
AU,brain,2017,188
AU,brain,2018,386
AU,brain,2019,548
AU,brain,2020,697
AU,brain,2021,821
AU,brain,2022,1079
AU,brain,2023,289
AU,eye,2013,1
AU,eye,2014,2
AU,eye,2015,4
AU,eye,2016,11
AU,eye,2017,53
AU,eye,2018,93
AU,eye,2019,145
AU,eye,2020,185
AU,eye,2021,220
AU,eye,2022,257
AU,eye,2023,64
AU,fallopian tube,2017,2
AU,fallopian tube,2019,1
AU,fallopian tube,2020,7
AU,fallopian tube,2021,10
AU,fallopian tube,2022,14
AU,heart,2014,6
AU,heart,2015,15
AU,heart,2016,37
AU,heart,2017,111
AU,heart,2018,201
AU,heart,2019,316
AU,heart,2020,423
AU,heart,2021,527
AU,heart,2022,661
AU,heart,2023,158
AU,kidney,2014,3
AU,kidney,2015,3
AU,kidney,2016,28
AU,kidney,2017,72
AU,kidney,2018,130
AU,kidney,2019,243
AU,kidney,2020,315
AU,kidney,2021,357
AU,kidney,2022,432
AU,kidney,2023,120
AU,knee,2009,1
AU,knee,2015,10
AU,knee,2016,12
AU,knee,2017,32
AU,knee,2018,59
AU,knee,2019,113
AU,knee,2020,155
AU,knee,2021,154
AU,knee,2022,267
AU,knee,2023,85
AU,large intestine,2018,1
AU,large intestine,2019,2
AU,large intestine,2020,2
AU,large intestine,2021,10
AU,large intestine,2022,4
AU,liver,2013,1
AU,liver,2015,43
AU,liver,2016,81
AU,liver,2017,260
AU,liver,2018,524
AU,liver,2019,723
AU,liver,2020,1143
AU,liver,2021,1472
AU,liver,2022,1747
AU,liver,2023,457
AU,lung,2015,13
AU,lung,2016,57
AU,lung,2017,98
AU,lung,2018,204
AU,lung,2019,327
AU,lung,2020,387
AU,lung,2021,559
AU,lung,2022,534
AU,lung,2023,135
AU,lymph node,2016,7
AU,lymph node,2017,25
AU,lymph node,2018,31
AU,lymph node,2019,59
AU,lymph node,2020,68
AU,lymph node,2021,87
AU,lymph node,2022,88
AU,lymph node,2023,31
AU,lymph vasculature,2018,2
AU,lymph vasculature,2021,3
AU,lymph vasculature,2023,12
AU,muscular system,2017,1
AU,muscular system,2018,4
AU,muscular system,2019,2
AU,muscular system,2020,3
AU,muscular system,2021,5
AU,muscular system,2022,14
AU,ovary,2015,1
AU,ovary,2016,12
AU,ovary,2017,12
AU,ovary,2018,19
AU,ovary,2019,38
AU,ovary,2020,55
AU,ovary,2021,65
AU,ovary,2022,70
AU,ovary,2023,23
AU,pancreas,2016,3
AU,pancreas,2017,12
AU,pancreas,2018,10
AU,pancreas,2019,14
AU,pancreas,2020,31
AU,pancreas,2021,22
AU,pancreas,2022,34
AU,pancreas,2023,8
AU,pelvis,2016,1
AU,pelvis,2017,1
AU,pelvis,2018,8
AU,pelvis,2019,15
AU,pelvis,2020,37
AU,pelvis,2021,10
AU,pelvis,2022,33
AU,pelvis,2023,3
AU,peripheral nervous system,2017,3
AU,peripheral nervous system,2018,13
AU,peripheral nervous system,2019,17
AU,peripheral nervous system,2020,13
AU,peripheral nervous system,2021,34
AU,peripheral nervous system,2022,22
AU,peripheral nervous system,2023,4
AU,placenta,2015,7
AU,placenta,2016,7
AU,placenta,2017,43
AU,placenta,2018,40
AU,placenta,2019,48
AU,placenta,2020,72
AU,placenta,2021,126
AU,placenta,2022,131
AU,placenta,2023,25
AU,prostate,2015,1
AU,prostate,2016,9
AU,prostate,2017,38
AU,prostate,2018,99
AU,prostate,2019,169
AU,prostate,2020,170
AU,prostate,2021,272
AU,prostate,2022,268
AU,prostate,2023,86
AU,skeletal,2014,3
AU,skeletal,2015,13
AU,skeletal,2016,23
AU,skeletal,2017,104
AU,skeletal,2018,180
AU,skeletal,2019,246
AU,skeletal,2020,330
AU,skeletal,2021,461
AU,skeletal,2022,408
AU,skeletal,2023,101
AU,skin,2014,3
AU,skin,2015,14
AU,skin,2016,24
AU,skin,2017,81
AU,skin,2018,208
AU,skin,2019,293
AU,skin,2020,420
AU,skin,2021,482
AU,skin,2022,532
AU,skin,2023,120
AU,small intestine,2016,2
AU,small intestine,2017,6
AU,small intestine,2018,14
AU,small intestine,2019,19
AU,small intestine,2020,35
AU,small intestine,2021,16
AU,small intestine,2022,29
AU,small intestine,2023,4
AU,spinal cord,2011,1
AU,spinal cord,2014,1
AU,spinal cord,2015,5
AU,spinal cord,2016,9
AU,spinal cord,2017,30
AU,spinal cord,2018,43
AU,spinal cord,2019,57
AU,spinal cord,2020,76
AU,spinal cord,2021,113
AU,spinal cord,2022,141
AU,spinal cord,2023,34
AU,spleen,2014,1
AU,spleen,2015,2
AU,spleen,2016,2
AU,spleen,2017,12
AU,spleen,2018,24
AU,spleen,2019,20
AU,spleen,2020,48
AU,spleen,2021,41
AU,spleen,2022,19
AU,spleen,2023,1
AU,thymus,2016,8
AU,thymus,2017,3
AU,thymus,2018,6
AU,thymus,2019,13
AU,thymus,2020,14
AU,thymus,2021,5
AU,thymus,2022,14
AU,thymus,2023,4
AU,trachea,2015,2
AU,trachea,2016,3
AU,trachea,2017,12
AU,trachea,2018,14
AU,trachea,2019,27
AU,trachea,2020,40
AU,trachea,2021,52
AU,trachea,2022,44
AU,trachea,2023,21
AU,ureter,2016,1
AU,ureter,2017,6
AU,ureter,2018,5
AU,ureter,2019,18
AU,ureter,2020,12
AU,ureter,2021,18
AU,ureter,2022,16
AU,ureter,2023,7
AU,urinary bladder,2015,1
AU,urinary bladder,2016,1
AU,urinary bladder,2017,5
AU,urinary bladder,2018,26
AU,urinary bladder,2019,23
AU,urinary bladder,2020,33
AU,urinary bladder,2021,57
AU,urinary bladder,2022,70
AU,urinary bladder,2023,20
AU,uterus,2016,1
AU,uterus,2017,5
AU,uterus,2018,5
AU,uterus,2019,15
AU,uterus,2020,23
AU,uterus,2021,32
AU,uterus,2022,23
AU,uterus,2023,1
AZ,brain,2017,2
AZ,brain,2018,1
AZ,brain,2019,2
AZ,brain,2020,4
AZ,brain,2021,3
AZ,brain,2022,9
AZ,brain,2023,2
AZ,eye,2015,1
AZ,eye,2018,1
AZ,eye,2019,4
AZ,eye,2021,1
AZ,eye,2022,1
AZ,heart,2019,2
AZ,heart,2022,3
AZ,kidney,2019,1
AZ,kidney,2021,3
AZ,knee,2022,1
AZ,liver,2019,1
AZ,liver,2020,3
AZ,liver,2021,2
AZ,liver,2022,5
AZ,liver,2023,1
AZ,lung,2022,1
AZ,lymph node,2019,1
AZ,pancreas,2019,1
AZ,pancreas,2020,3
AZ,placenta,2020,1
AZ,placenta,2021,2
AZ,placenta,2022,1
AZ,prostate,2019,1
AZ,skeletal,2018,1
AZ,skeletal,2020,1
AZ,skeletal,2021,2
AZ,skeletal,2022,1
AZ,skin,2018,1
AZ,skin,2019,2
AZ,skin,2022,1
AZ,spinal cord,2018,1
AZ,spinal cord,2019,1
AZ,spinal cord,2020,1
AZ,spinal cord,2021,1
AZ,spinal cord,2022,1
AZ,spleen,2021,2
AZ,thymus,2022,1
AZ,trachea,2021,1
AZ,urinary bladder,2018,1
AZ,urinary bladder,2019,1
AZ,urinary bladder,2020,1
AZ,urinary bladder,2021,1
AZ,urinary bladder,2022,1
AZ,urinary bladder,2023,1
BA,bone marrow,2021,5
BA,brain,2017,2
BA,brain,2019,2
BA,brain,2021,1
BA,brain,2022,4
BA,brain,2023,1
BA,eye,2022,1
BA,heart,2020,1
BA,heart,2022,6
BA,heart,2023,2
BA,kidney,2018,1
BA,kidney,2019,2
BA,kidney,2020,1
BA,kidney,2021,4
BA,kidney,2022,7
BA,kidney,2023,3
BA,knee,2022,1
BA,liver,2016,1
BA,liver,2018,2
BA,liver,2019,1
BA,liver,2020,13
BA,liver,2021,12
BA,liver,2022,11
BA,liver,2023,1
BA,lung,2018,1
BA,lung,2021,2
BA,lung,2022,2
BA,ovary,2021,2
BA,pancreas,2022,1
BA,placenta,2022,1
BA,placenta,2023,1
BA,skeletal,2020,1
BA,skeletal,2022,2
BA,skeletal,2023,1
BA,skin,2020,1
BA,skin,2021,1
BA,skin,2022,2
BA,spleen,2020,1
BA,urinary bladder,2020,1
BA,uterus,2020,1
BA,uterus,2023,1
BB,heart,2016,1
BB,heart,2019,1
BB,heart,2022,1
BB,kidney,2020,1
BB,liver,2019,1
BB,liver,2022,7
BB,pancreas,2020,1
BB,prostate,2022,1
BB,skin,2017,1
BB,skin,2020,1
BB,skin,2022,1
BD,bone marrow,2018,1
BD,bone marrow,2019,1
BD,bone marrow,2020,2
BD,bone marrow,2021,2
BD,brain,2017,7
BD,brain,2018,3
BD,brain,2019,6
BD,brain,2020,15
BD,brain,2021,20
BD,brain,2022,32
BD,brain,2023,5
BD,eye,2018,2
BD,eye,2019,6
BD,eye,2020,6
BD,eye,2021,1
BD,eye,2022,9
BD,eye,2023,3
BD,heart,2018,2
BD,heart,2019,4
BD,heart,2020,2
BD,heart,2021,24
BD,heart,2022,12
BD,heart,2023,4
BD,kidney,2017,1
BD,kidney,2018,3
BD,kidney,2019,4
BD,kidney,2020,6
BD,kidney,2021,31
BD,kidney,2022,24
BD,kidney,2023,1
BD,knee,2019,2
BD,knee,2021,1
BD,knee,2022,8
BD,knee,2023,1
BD,liver,2017,10
BD,liver,2018,17
BD,liver,2019,20
BD,liver,2020,36
BD,liver,2021,60
BD,liver,2022,92
BD,liver,2023,10
BD,lung,2017,1
BD,lung,2018,4
BD,lung,2019,4
BD,lung,2020,10
BD,lung,2021,11
BD,lung,2022,26
BD,lung,2023,10
BD,lymph node,2020,1
BD,main bronchus,2019,1
BD,ovary,2019,2
BD,ovary,2020,1
BD,ovary,2022,3
BD,pancreas,2019,1
BD,pancreas,2021,4
BD,pancreas,2022,3
BD,pelvis,2020,1
BD,peripheral nervous system,2016,1
BD,peripheral nervous system,2018,1
BD,peripheral nervous system,2021,1
BD,placenta,2022,2
BD,prostate,2018,1
BD,prostate,2019,1
BD,prostate,2022,2
BD,prostate,2023,1
BD,skeletal,2017,1
BD,skeletal,2018,2
BD,skeletal,2020,8
BD,skeletal,2021,4
BD,skeletal,2022,7
BD,skeletal,2023,2
BD,skin,2018,1
BD,skin,2019,2
BD,skin,2020,3
BD,skin,2021,13
BD,skin,2022,25
BD,skin,2023,2
BD,small intestine,2017,1
BD,small intestine,2019,2
BD,small intestine,2023,1
BD,spinal cord,2018,2
BD,spinal cord,2020,2
BD,spinal cord,2021,2
BD,spinal cord,2022,9
BD,spinal cord,2023,3
BD,spleen,2017,1
BD,spleen,2018,1
BD,spleen,2019,1
BD,spleen,2020,1
BD,spleen,2021,1
BD,spleen,2022,2
BD,ureter,2020,1
BD,urinary bladder,2020,1
BD,urinary bladder,2022,1
BE,bone marrow,2016,1
BE,bone marrow,2017,6
BE,bone marrow,2018,7
BE,bone marrow,2019,14
BE,bone marrow,2020,21
BE,bone marrow,2021,20
BE,bone marrow,2022,7
BE,bone marrow,2023,1
BE,brain,2003,1
BE,brain,2014,5
BE,brain,2015,14
BE,brain,2016,25
BE,brain,2017,66
BE,brain,2018,151
BE,brain,2019,175
BE,brain,2020,227
BE,brain,2021,287
BE,brain,2022,348
BE,brain,2023,95
BE,eye,2015,2
BE,eye,2016,5
BE,eye,2017,15
BE,eye,2018,16
BE,eye,2019,19
BE,eye,2020,25
BE,eye,2021,51
BE,eye,2022,71
BE,eye,2023,26
BE,fallopian tube,2020,6
BE,fallopian tube,2021,3
BE,fallopian tube,2022,1
BE,heart,2015,3
BE,heart,2016,14
BE,heart,2017,48
BE,heart,2018,75
BE,heart,2019,87
BE,heart,2020,125
BE,heart,2021,205
BE,heart,2022,245
BE,heart,2023,58
BE,kidney,2014,2
BE,kidney,2015,3
BE,kidney,2016,8
BE,kidney,2017,26
BE,kidney,2018,50
BE,kidney,2019,48
BE,kidney,2020,120
BE,kidney,2021,127
BE,kidney,2022,151
BE,kidney,2023,32
BE,knee,2016,3
BE,knee,2017,8
BE,knee,2018,8
BE,knee,2019,15
BE,knee,2020,31
BE,knee,2021,32
BE,knee,2022,45
BE,knee,2023,9
BE,large intestine,2016,1
BE,large intestine,2019,4
BE,liver,2014,2
BE,liver,2015,3
BE,liver,2016,16
BE,liver,2017,45
BE,liver,2018,90
BE,liver,2019,143
BE,liver,2020,242
BE,liver,2021,274
BE,liver,2022,317
BE,liver,2023,78
BE,lung,2014,1
BE,lung,2016,8
BE,lung,2017,40
BE,lung,2018,43
BE,lung,2019,77
BE,lung,2020,139
BE,lung,2021,221
BE,lung,2022,261
BE,lung,2023,53
BE,lymph node,2014,1
BE,lymph node,2015,1
BE,lymph node,2016,4
BE,lymph node,2017,5
BE,lymph node,2018,12
BE,lymph node,2019,11
BE,lymph node,2020,31
BE,lymph node,2021,34
BE,lymph node,2022,22
BE,lymph node,2023,7
BE,muscular system,2019,1
BE,muscular system,2022,1
BE,ovary,2015,1
BE,ovary,2017,2
BE,ovary,2018,1
BE,ovary,2019,13
BE,ovary,2020,15
BE,ovary,2021,15
BE,ovary,2022,9
BE,pancreas,2017,1
