country,year,pub_count
HT,2023,1
HU,2014,7
HU,2015,6
HU,2016,23
HU,2017,58
HU,2018,111
HU,2019,155
HU,2020,216
HU,2021,317
HU,2022,337
HU,2023,53
ID,2014,2
ID,2015,4
ID,2016,5
ID,2017,18
ID,2018,46
ID,2019,87
ID,2020,146
ID,2021,207
ID,2022,220
ID,2023,55
IE,2014,2
IE,2015,15
IE,2016,44
IE,2017,111
IE,2018,207
IE,2019,308
IE,2020,398
IE,2021,537
IE,2022,554
IE,2023,145
IL,2008,1
IL,2014,5
IL,2015,21
IL,2016,39
IL,2017,130
IL,2018,321
IL,2019,399
IL,2020,530
IL,2021,720
IL,2022,830
IL,2023,192
IN,2014,46
IN,2015,24
IN,2016,115
IN,2017,393
IN,2018,838
IN,2019,1242
IN,2020,1728
IN,2021,2644
IN,2022,3157
IN,2023,691
IQ,2013,1
IQ,2017,5
IQ,2018,13
IQ,2019,23
IQ,2020,38
IQ,2021,53
IQ,2022,84
IQ,2023,12
IR,2013,1
IR,2014,14
IR,2015,6
IR,2016,34
IR,2017,116
IR,2018,368
IR,2019,679
IR,2020,935
IR,2021,1209
IR,2022,1411
IR,2023,293
IS,2015,1
IS,2016,3
IS,2017,11
IS,2018,19
IS,2019,29
IS,2020,29
IS,2021,34
IS,2022,50
IS,2023,9
IT,2012,3
IT,2013,2
IT,2014,125
IT,2015,118
IT,2016,375
IT,2017,1340
IT,2018,2348
IT,2019,3144
IT,2020,4346
IT,2021,5750
IT,2022,6138
IT,2023,1433
JE,2017,1
JE,2022,4
JM,2017,1
JM,2018,1
JM,2019,5
JM,2020,9
JM,2021,4
JM,2022,10
JM,2023,4
JO,2016,1
JO,2017,14
JO,2018,25
JO,2019,51
JO,2020,98
JO,2021,103
JO,2022,142
JO,2023,29
JP,2012,1
JP,2013,2
JP,2014,80
JP,2015,103
JP,2016,315
JP,2017,1426
JP,2018,2815
JP,2019,3681
JP,2020,4589
JP,2021,5825
JP,2022,6523
JP,2023,1543
KE,2014,1
KE,2016,3
KE,2017,10
KE,2018,13
KE,2019,25
KE,2020,38
KE,2021,42
KE,2022,35
KE,2023,8
KG,2018,1
KG,2019,1
KG,2020,4
KG,2021,3
KG,2022,9
KG,2023,3
KH,2015,1
KH,2016,3
KH,2017,4
KH,2018,10
KH,2019,18
KH,2020,18
KH,2021,44
KH,2022,49
KH,2023,7
KN,2017,1
KN,2018,6
KN,2019,2
KN,2020,4
KN,2021,7
KN,2022,8
KN,2023,3
KR,2008,1
KR,2012,2
KR,2014,133
KR,2015,103
KR,2016,378
KR,2017,1065
KR,2018,1903
KR,2019,2566
KR,2020,3246
KR,2021,3951
KR,2022,3678
KR,2023,785
KW,2016,1
KW,2017,7
KW,2018,16
KW,2019,15
KW,2020,32
KW,2021,37
KW,2022,38
KW,2023,9
KY,2020,1
KY,2023,1
KZ,2017,6
KZ,2018,8
KZ,2019,13
KZ,2020,23
KZ,2021,29
KZ,2022,51
KZ,2023,10
LA,2020,2
LA,2021,2
LB,2015,1
LB,2016,6
LB,2017,24
LB,2018,27
LB,2019,54
LB,2020,83
LB,2021,105
LB,2022,121
LB,2023,16
LC,2018,1
LC,2021,1
LC,2022,2
LI,2022,2
LK,2016,6
LK,2017,10
LK,2018,23
LK,2019,23
LK,2020,41
LK,2021,51
LK,2022,55
LK,2023,19
LS,2022,1
LT,2015,1
LT,2016,8
LT,2017,8
LT,2018,27
LT,2019,32
LT,2020,53
LT,2021,79
LT,2022,92
LT,2023,21
LU,2015,1
LU,2016,7
LU,2017,9
LU,2018,8
LU,2019,18
LU,2020,36
LU,2021,33
LU,2022,45
LU,2023,12
LV,2017,4
LV,2018,10
LV,2019,15
LV,2020,25
LV,2021,38
LV,2022,32
LV,2023,5
LY,2017,2
LY,2018,1
LY,2019,1
LY,2020,5
LY,2021,4
LY,2022,1
LY,2023,2
MA,2015,1
MA,2016,4
MA,2017,8
MA,2018,19
MA,2019,17
MA,2020,44
MA,2021,67
MA,2022,57
MA,2023,17
MC,2019,3
MC,2020,3
MC,2021,9
MC,2022,5
MC,2023,2
MD,2020,1
MD,2021,1
MD,2022,4
MD,2023,2
ME,2020,1
ME,2021,1
ME,2022,4
MG,2015,1
MG,2017,1
MG,2019,1
MG,2020,2
MG,2021,5
MG,2022,3
MG,2023,1
MK,2016,1
MK,2017,1
MK,2018,6
MK,2019,2
MK,2020,10
MK,2021,15
MK,2022,10
MK,2023,1
ML,2016,1
ML,2018,1
ML,2019,1
ML,2020,2
ML,2021,2
ML,2022,1
MM,2017,1
MM,2019,3
MM,2020,8
MM,2021,8
MM,2022,5
MM,2023,3
MN,2016,1
MN,2017,1
MN,2018,2
MN,2019,6
MN,2020,6
MN,2021,7
MN,2022,11
MN,2023,2
MQ,2017,1
MQ,2018,3
