iri,pref_label,type
http://purl.obolibrary.org/obo/PCL_0015050,inh l1-2 sst ccnjl,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal inhibitory neuron 8,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal excitatory neuron 2,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal excitatory neuron 1,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal excitatory neuron 11,CT
http://purl.obolibrary.org/obo/CL_0000540,medial excitatory neuron 4,CT
http://purl.obolibrary.org/obo/CL_0000540,medial excitatory neuron 3,CT
http://purl.obolibrary.org/obo/CL_0000540,medial excitatory neuron 1,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal excitatory neuron 10,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal inhibitory neuron 1,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal excitatory neuron 5,CT
http://purl.obolibrary.org/obo/CL_0000540,ventral inhibitory neuron 2,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal excitatory neuron 12,CT
http://purl.obolibrary.org/obo/CL_0000540,ventral inhibitory neuron 1,CT
http://purl.obolibrary.org/obo/CL_0000540,ventral excitatory neuron 3,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal inhibitory neuron 3,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal excitatory neuron 7,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal inhibitory neuron 6,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal inhibitory neuron 9,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal excitatory neuron 6,CT
http://purl.obolibrary.org/obo/CL_0000540,medial excitatory neuron 2,CT
http://purl.obolibrary.org/obo/CL_0000540,ventral excitatory neuron 2,CT
http://purl.obolibrary.org/obo/CL_0000540,ventral excitatory neuron 1,CT
http://purl.obolibrary.org/obo/CL_0000540,medial inhibitory neuron 1,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal excitatory neuron 8,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal inhibitory neuron 5,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal excitatory neuron 4,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal excitatory neuron 9,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal inhibitory neuron 4,CT
http://purl.obolibrary.org/obo/CL_0000540,ventral inhibitory neuron 3,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal excitatory neuron 3,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal inhibitory neuron 7,CT
http://purl.obolibrary.org/obo/CL_0000540,dorsal inhibitory neuron 2,CT
http://purl.obolibrary.org/obo/CL_0000540,neuron,CT
http://purl.obolibrary.org/obo/PCL_0015089,exc l5-6 themis tnfaip6,CT
https://purl.org/ccf/ASCTB-TEMP_oligo47,oligo_47,CT
http://purl.obolibrary.org/obo/CL_2000008,microvascular endothelial cell,CT
https://purl.org/ccf/ASCTB-TEMP_mgl9,mgl_9,CT
http://purl.obolibrary.org/obo/CL_0000192,smooth muscle cell,CT
http://purl.obolibrary.org/obo/CL_0000192,smooth muscle,CT
http://purl.obolibrary.org/obo/CL_0000192,splenic smooth muscle cell,CT
http://purl.obolibrary.org/obo/CL_0000940,mucosal invariant t cell,CT
http://purl.obolibrary.org/obo/CL_0000940,mucosal associated invariant t cell,CT
https://purl.org/ccf/ASCTB-TEMP_dlct6b101,dlct6b_101,CT
http://purl.obolibrary.org/obo/PCL_0015052,inh l1-2 sst prrt4,CT
http://purl.obolibrary.org/obo/CL_0000158,club cell,CT
https://purl.org/ccf/ASCTB-TEMP_astro53,astro_53,CT
https://purl.org/ccf/ASCTB-TEMP_oligo45,oligo_45,CT
http://purl.obolibrary.org/obo/CL_0001056,dendritic cell,CT
http://purl.obolibrary.org/obo/CL_0001056,dendritic cell (dc),CT
http://purl.obolibrary.org/obo/CL_0001056,conventional dendritic cell,CT
http://purl.obolibrary.org/obo/CL_0001056,dendritic cell type 3 (dc3),CT
http://purl.obolibrary.org/obo/CL_0001056,dendritic cell (general),CT
http://purl.obolibrary.org/obo/CL_0000767,basophil,CT
https://purl.org/ccf/ASCTB-TEMP_llc268,llc_268,CT
https://purl.org/ccf/ASCTB-TEMP_dlit146,dlit_146,CT
http://purl.obolibrary.org/obo/CL_0000557,granulocyte-macrophage progenitor cell (gmp),CT
http://purl.obolibrary.org/obo/CL_0000503,theca cell,CT
http://purl.obolibrary.org/obo/PCL_0015018,inh l1 sst defb108b,CT
https://purl.org/ccf/ASCTB-TEMP_mge245,mge_245,CT
https://purl.org/ccf/ASCTB-TEMP_dlnp96,dlnp_96,CT
https://purl.org/ccf/ASCTB-TEMP_semilunar-type-1-cell,semilunar type 1 cell,CT
https://purl.org/ccf/ASCTB-TEMP_ca13119,ca13_119,CT
http://purl.obolibrary.org/obo/CL_1000324,goblet cell,CT
http://purl.obolibrary.org/obo/CL_0002145,ciliated columnar cell of tracheobronchial tree,CT
