iri,pref_label,type
http://identifiers.org/hgnc/8823,PECAM1+,BM
http://identifiers.org/hgnc/8823,platelet and endothelial cell adhesion molecule 1,BM
http://identifiers.org/hgnc/8823,PECAM1 (CD31),BM
http://identifiers.org/hgnc/9662,SIRPA,BM
http://identifiers.org/hgnc/9662,SIRPACD172a,BM
http://identifiers.org/hgnc/9662,CD172a,BM
http://identifiers.org/hgnc/9662,SIRPa,BM
http://identifiers.org/hgnc/6017,IL5RA,BM
http://identifiers.org/hgnc/6017,CD125,BM
http://identifiers.org/hgnc/9666,CD45,BM
http://identifiers.org/hgnc/9666,PTPRC,BM
http://identifiers.org/hgnc/9666,CD45RO,BM
http://identifiers.org/hgnc/9666,CD45RA,BM
http://identifiers.org/hgnc/9666,CD45lo,BM
http://identifiers.org/hgnc/9666,CD45RA(lo),BM
http://identifiers.org/hgnc/9666,CD45RAlo,BM
http://identifiers.org/hgnc/11843,TLL1,BM
http://identifiers.org/hgnc/3673,FGF17,BM
http://identifiers.org/hgnc/9080,PLN,BM
http://identifiers.org/hgnc/1036,BEX1,BM
http://identifiers.org/hgnc/2439,CSF3R,BM
http://identifiers.org/hgnc/1799,CDR2,BM
http://identifiers.org/hgnc/3341,EMX2,BM
http://identifiers.org/hgnc/8109,ODC1,BM
http://identifiers.org/hgnc/7036,MFGE8,BM
http://identifiers.org/hgnc/7036,MFGE8+,BM
http://identifiers.org/hgnc/4943,HLA-DQA2,BM
http://identifiers.org/hgnc/16709,CALCRL,BM
http://identifiers.org/hgnc/16953,POSTN,BM
http://identifiers.org/hgnc/16953,POSTN+,BM
http://identifiers.org/hgnc/52626,LINC01821,BM
http://identifiers.org/hgnc/3467,ESR1,BM
http://identifiers.org/hgnc/21637,SATB2,BM
http://identifiers.org/hgnc/800,Na/K ATPasea2,BM
http://identifiers.org/hgnc/2298,CPA3,BM
http://identifiers.org/hgnc/2298,CPA3+,BM
http://identifiers.org/hgnc/25735,VEPH1,BM
http://identifiers.org/hgnc/2545,CTSS,BM
http://identifiers.org/hgnc/2545,CTSS+,BM
http://identifiers.org/hgnc/6643,LMO3,BM
http://identifiers.org/hgnc/5200,HS3ST4,BM
http://identifiers.org/hgnc/5713,IGJ,BM
http://identifiers.org/hgnc/5713,JCHAIN,BM
http://identifiers.org/hgnc/5713,JCHAIN+,BM
http://identifiers.org/hgnc/1659,CD33,BM
http://identifiers.org/hgnc/1659,CD33(hi),BM
http://identifiers.org/hgnc/1659,CD33(lo),BM
http://identifiers.org/hgnc/14120,TPSB2,BM
http://identifiers.org/hgnc/5411,IFIT3,BM
http://identifiers.org/hgnc/3618,FCGR2B,BM
http://identifiers.org/hgnc/3618,FCGR2B+,BM
http://identifiers.org/hgnc/3618,CD32,BM
http://identifiers.org/hgnc/3618,CD32lo,BM
http://identifiers.org/hgnc/10658,SDC1,BM
http://identifiers.org/hgnc/10658,syndecan 1,BM
http://identifiers.org/hgnc/10658,CD138,BM
http://identifiers.org/hgnc/10658,SDC1+,BM
http://identifiers.org/hgnc/26683,LMNTD1,BM
http://identifiers.org/hgnc/1673,CD3D,BM
http://identifiers.org/hgnc/1673,CD3-TCR,BM
http://identifiers.org/hgnc/1673,CD3d molecule,BM
http://identifiers.org/hgnc/1673,TCR gamma/delta,BM
http://identifiers.org/hgnc/1673,TCR alpha/beta,BM
http://identifiers.org/hgnc/1673,CD3,BM
http://identifiers.org/hgnc/1678,CD4,BM
http://identifiers.org/hgnc/1678,CD4+/- or CD8,BM
http://identifiers.org/hgnc/1678,CD4-,BM
http://identifiers.org/hgnc/1678,CD4 molecule,BM
http://identifiers.org/hgnc/6106,FOXP3,BM
http://identifiers.org/hgnc/6106,forkhead box P3,BM
http://identifiers.org/hgnc/6106,FOXP3+,BM
http://identifiers.org/hgnc/1653,CD28,BM
http://identifiers.org/hgnc/11802,TIA-1,BM
http://identifiers.org/hgnc/1675,CD3,BM
http://identifiers.org/hgnc/1675,CD3G,BM
http://identifiers.org/hgnc/4709,GZMB,BM
http://identifiers.org/hgnc/4709,Granzyme B,BM
http://identifiers.org/hgnc/4709,GZMB+,BM
http://identifiers.org/hgnc/4711,GZMK,BM
http://identifiers.org/hgnc/9360,PRF1,BM
http://identifiers.org/hgnc/9360,Perforin,BM
http://identifiers.org/hgnc/9360,PRF1+,BM
http://identifiers.org/hgnc/10630,CCL4,BM
http://identifiers.org/hgnc/10632,CCL5,BM
http://identifiers.org/hgnc/4708,GZMA,BM
http://identifiers.org/hgnc/5293,HTR2C,BM
http://identifiers.org/hgnc/1751,CDH12,BM
http://identifiers.org/hgnc/9361,SRGN,BM
http://identifiers.org/hgnc/16892,CD96,BM
http://identifiers.org/hgnc/4565,GRB14,BM
http://identifiers.org/hgnc/6107,PDX1,BM
http://identifiers.org/hgnc/9832,RAG2,BM
http://identifiers.org/hgnc/21735,LHX6,BM
http://identifiers.org/hgnc/3179,EDNRA,BM
http://identifiers.org/hgnc/9461,PRPH,BM
http://identifiers.org/hgnc/9461,peripherin,BM
http://identifiers.org/hgnc/11634,TCF4,BM
http://identifiers.org/hgnc/74,ABCG2,BM
http://identifiers.org/hgnc/3244,EHD3,BM
http://identifiers.org/hgnc/14446,PARD3B,BM
http://identifiers.org/hgnc/20766,TUBA1A,BM
http://identifiers.org/hgnc/10889,SIX3,BM
http://identifiers.org/hgnc/24435,CYTL1,BM
http://identifiers.org/hgnc/18351,SHISA8,BM
http://identifiers.org/hgnc/10640,CXCL14,BM
http://identifiers.org/hgnc/11521,TAC3,BM
http://identifiers.org/hgnc/25552,RNF220,BM
http://identifiers.org/hgnc/9997,RGS16,BM
http://identifiers.org/hgnc/6373,KLRB1,BM
http://identifiers.org/hgnc/6373,CD161,BM
http://identifiers.org/hgnc/6373,CD161(lo)/,BM
http://identifiers.org/hgnc/2932,DMP1: dentin matrix acidic phosphoprotein 1,BM
http://identifiers.org/hgnc/6148,CD11a,BM
http://identifiers.org/hgnc/8126,OGN,BM
http://identifiers.org/hgnc/27405,NPNT,BM
http://identifiers.org/hgnc/7612,MYOG,BM
http://identifiers.org/hgnc/7593,MYO10,BM
http://identifiers.org/hgnc/10473,RUNX3,BM
http://identifiers.org/hgnc/6472,LAD1,BM
http://identifiers.org/hgnc/9958,REN,BM
http://identifiers.org/hgnc/1685,CD5,BM
http://identifiers.org/hgnc/7508,Epidermal membrane Antigen,BM
http://identifiers.org/hgnc/8021,NT5E,BM
http://identifiers.org/hgnc/8021,CD73,BM
http://identifiers.org/hgnc/1487,CAPS,BM
http://identifiers.org/hgnc/1435,Calretinin,BM
http://identifiers.org/hgnc/1435,calretinin,BM
http://identifiers.org/hgnc/1435,calbindin 2/calretinin,BM
http://identifiers.org/hgnc/1435,calbindin 2,BM
http://identifiers.org/hgnc/6430,KRT18,BM
http://identifiers.org/hgnc/6430,Keratin 18,BM
http://identifiers.org/hgnc/6430,keratin 18,BM
http://identifiers.org/hgnc/18123,ACVR1C,BM
http://identifiers.org/hgnc/19718,RXFP1,BM
http://identifiers.org/hgnc/6144,ITGA8,BM
http://identifiers.org/hgnc/7549,MYBPC1,BM
http://identifiers.org/hgnc/10627,CCL3,BM
http://identifiers.org/hgnc/11127,SIGLEC1,BM
http://identifiers.org/hgnc/11127,CD169,BM
http://identifiers.org/hgnc/11127,CD169-/+,BM
http://identifiers.org/hgnc/1631,CD163,BM
http://identifiers.org/hgnc/1631,CD163 molecule,BM
http://identifiers.org/hgnc/1686,CD53,BM
http://identifiers.org/hgnc/1693,CD68,BM
http://identifiers.org/hgnc/1693,CD68 molecule,BM
http://identifiers.org/hgnc/2252,CORO1A,BM
http://identifiers.org/hgnc/2605,CYP27A1,BM
http://identifiers.org/hgnc/3559,FABP4,BM
