iri,pref_label,type
http://purl.obolibrary.org/obo/UBERON_0002379,perineal muscle,AS
http://purl.obolibrary.org/obo/UBERON_0001107,sternohyoid muscle,AS
http://purl.obolibrary.org/obo/UBERON_0006460,s1 sacral spinal cord segment,AS
http://purl.obolibrary.org/obo/UBERON_0007717,sacral subsegment of spinal cord,AS
http://purl.obolibrary.org/obo/UBERON_0004313,distal phalanx of digit of hand 4,AS
http://purl.org/sig/ont/fma/fma6440,first cervical spinal nerve,AS
http://purl.obolibrary.org/obo/UBERON_0001810,nerve plexus,AS
http://purl.obolibrary.org/obo/UBERON_0000956,cerebral cortex,AS
http://purl.org/sig/ont/fma/fma8733,ventral ramus of fifth cervical spinal nerve,AS
http://purl.org/sig/ont/fma/fma7062,ventral ramus of second cervical spinal nerve,AS
http://purl.obolibrary.org/obo/UBERON_0002152,middle cerebellar peduncle,AS
http://purl.org/sig/ont/fma/fma8646,lateral basal segmental artery of left lung,AS
http://purl.org/sig/ont/fma/fma54402,descending branch of hypoglossal nerve,AS
http://purl.obolibrary.org/obo/UBERON_0004212,glomerular capillary,AS
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,AS
http://purl.obolibrary.org/obo/UBERON_0004203,collecting duct,AS
http://purl.obolibrary.org/obo/UBERON_0004203,collecting duct (cortex),AS
http://purl.obolibrary.org/obo/UBERON_0004639,afferent arteriole,AS
http://purl.obolibrary.org/obo/UBERON_0004639,renal afferent arteriole,AS
http://purl.obolibrary.org/obo/UBERON_0001803,epithelial layer,AS
http://purl.obolibrary.org/obo/UBERON_0010400,spleen trabecular vein,AS
http://purl.obolibrary.org/obo/UBERON_0009041,superficial circumflex iliac artery,AS
http://purl.obolibrary.org/obo/UBERON_0001266,splenic cord,AS
http://purl.obolibrary.org/obo/UBERON_0001597,masseter muscle,AS
http://purl.obolibrary.org/obo/UBERON_0002049,vasculature,AS
http://purl.obolibrary.org/obo/UBERON_0001265,trabeculae,AS
http://purl.obolibrary.org/obo/UBERON_0034713,nerve bundle,AS
http://purl.obolibrary.org/obo/UBERON_0008618,subcostal muscle,AS
http://purl.obolibrary.org/obo/UBERON_0004042,secondary follicle,AS
http://purl.obolibrary.org/obo/UBERON_0001959,white pulp,AS
http://purl.obolibrary.org/obo/UBERON_0003690,sacrum,AS
http://purl.obolibrary.org/obo/UBERON_0000320,mucosa,AS
http://purl.obolibrary.org/obo/UBERON_0008523,infrahyoid muscle,AS
http://purl.obolibrary.org/obo/UBERON_0006470,c8 segment of cervical spinal cord,AS
http://purl.obolibrary.org/obo/UBERON_0003987,hassall's corpuscle,AS
http://purl.obolibrary.org/obo/UBERON_0006447,l5 lumbar spinal cord segment,AS
http://purl.obolibrary.org/obo/UBERON_0007315,internal pudendal artery,AS
http://purl.org/sig/ont/fma/fma44903,lateral proper palmar digital branch of ulnar nerve to little finger,AS
http://purl.obolibrary.org/obo/UBERON_0004605,rib 5,AS
http://purl.org/sig/ont/fma/fma7645,ventral ramus of first thoracic spinal nerve,AS
http://purl.obolibrary.org/obo/UBERON_0019264,gray matter of forebrain,AS
http://purl.obolibrary.org/obo/UBERON_0002028,hindbrain (rhombencephalon),AS
http://purl.obolibrary.org/obo/UBERON_0002629,"inferior frontal gyrus, triangular part",AS
http://purl.obolibrary.org/obo/UBERON_0002091,appendicular skeleton,AS
http://purl.org/sig/ont/fma/fma70929,pancreatic vein,AS
http://purl.obolibrary.org/obo/UBERON_0001072,inferior vena cava,AS
http://purl.obolibrary.org/obo/UBERON_0002070,superior pancreaticoduodenal artery,AS
http://purl.obolibrary.org/obo/UBERON_0003017,substantia innominata,AS
http://purl.obolibrary.org/obo/UBERON_0002590,prepiriform region,AS
http://purl.org/sig/ont/fma/fma54451,branch of hypoglossal nerve to ansa cervicalis,AS
http://purl.obolibrary.org/obo/UBERON_0005203,tracheal submucosal gland,AS
http://purl.org/sig/ont/fma/fma69613,lateral dorsal digital artery of fifth digit of foot,AS
http://purl.obolibrary.org/obo/UBERON_0009040,deep circumflex iliac artery,AS
http://purl.org/sig/ont/fma/fma3860,diagonal branch of left anterior descending artery,AS
http://purl.org/sig/ont/fma/fma3860,left diagonal branch of the left anterior descending artery,AS
http://purl.obolibrary.org/obo/UBERON_0000056,ureter,AS
http://purl.obolibrary.org/obo/UBERON_0012194,superior intercostal vein,AS
http://purl.obolibrary.org/obo/UBERON_0005097,connecting tubule,AS
http://purl.obolibrary.org/obo/UBERON_0013761,cervical cavity,AS
http://purl.org/sig/ont/fma/fma8605,ventral ramus of fifth thoracic spinal nerve,AS
http://purl.obolibrary.org/obo/UBERON_0011016,pyramidalis muscle,AS
http://purl.obolibrary.org/obo/UBERON_0019258,white matter of hindbrain,AS
http://purl.obolibrary.org/obo/UBERON_0005438,coronary sinus,AS
http://purl.obolibrary.org/obo/UBERON_0001872,parietal lobe,AS
http://purl.obolibrary.org/obo/UBERON_0006490,c4 segment of cervical spinal cord,AS
http://purl.obolibrary.org/obo/UBERON_0012319,posterior ethmoidal artery,AS
http://purl.obolibrary.org/obo/UBERON_0001615,transverse facial artery,AS
http://purl.obolibrary.org/obo/UBERON_0010995,deep part of masseter muscle,AS
http://purl.org/sig/ont/fma/fma6243,external branch of superior laryngeal nerve,AS
http://purl.obolibrary.org/obo/UBERON_0002107,liver,AS
http://purl.obolibrary.org/obo/UBERON_0002023,claustrum,AS
http://purl.obolibrary.org/obo/UBERON_0035322,right common iliac artery,AS
http://purl.obolibrary.org/obo/UBERON_0001156,ascending colon,AS
http://purl.org/sig/ont/fma/fma22763,radialis indicis artery,AS
http://purl.org/sig/ont/fma/fma8632,posterior basal segmental artery of right lung,AS
http://purl.org/sig/ont/fma/fma9585,bronchomediastinal lymph trunk,AS
http://purl.obolibrary.org/obo/UBERON_0003724,musculocutaneous nerve,AS
http://purl.obolibrary.org/obo/UBERON_0004646,infraorbital artery,AS
http://purl.obolibrary.org/obo/UBERON_0001631,thoracic duct,AS
http://purl.org/sig/ont/fma/fma11231,recurrent meningeal branch of tenth thoracic spinal nerve,AS
http://purl.obolibrary.org/obo/UBERON_0001411,basilic vein,AS
http://purl.org/sig/ont/fma/fma44692,interosseous nerve of leg,AS
http://purl.obolibrary.org/obo/UBERON_0010421,mantle zone,AS
http://purl.obolibrary.org/obo/UBERON_0002445,ulnare,AS
http://purl.org/sig/ont/fma/fma53431,auditory nerve,AS
http://purl.obolibrary.org/obo/UBERON_0008775,head of fibula,AS
http://purl.org/sig/ont/fma/fma8819,dorsal ramus of ninth thoracic spinal nerve,AS
http://purl.obolibrary.org/obo/UBERON_0001184,renal artery,AS
http://purl.org/sig/ont/fma/fma82561,branch of mylohyoid nerve to anterior belly of digastric,AS
http://purl.obolibrary.org/obo/UBERON_0008488,cremaster muscle,AS
http://purl.obolibrary.org/obo/UBERON_0001253,lamina propria of ureter,AS
http://purl.obolibrary.org/obo/UBERON_0004229,urinary bladder trigone smooth muscle,AS
http://purl.obolibrary.org/obo/UBERON_0013192,ovarian medulla,AS
http://purl.org/sig/ont/fma/fma53426,communicating branch of intermediate nerve with vagus nerve,AS
http://purl.obolibrary.org/obo/UBERON_0011088,collateral ligaments,AS
http://purl.obolibrary.org/obo/UBERON_0002792,lumbar spinal cord,AS
http://purl.org/sig/ont/fma/fma53256,gingival branch of mental nerve,AS
http://purl.obolibrary.org/obo/UBERON_0003335,serosa,AS
http://purl.obolibrary.org/obo/UBERON_0001297,serosa of the uterus,AS
http://purl.obolibrary.org/obo/UBERON_0005271,juxtamedullary cortex,AS
http://purl.org/sig/ont/fma/fma52672,communicating branch of nasociliary nerve with ciliary ganglion,AS
http://purl.obolibrary.org/obo/UBERON_0004615,cervical vertebra 6,AS
http://purl.obolibrary.org/obo/UBERON_0008198,nail plate,AS
http://purl.obolibrary.org/obo/UBERON_0005628,ileal artery,AS
http://purl.obolibrary.org/obo/UBERON_0004536,lymph vasculature,AS
http://purl.obolibrary.org/obo/UBERON_0006345,stapedial artery,AS
http://purl.org/sig/ont/fma/fma3840,posterior descending artery,AS
http://purl.obolibrary.org/obo/UBERON_0001256,wall of urinary bladder,AS
http://purl.obolibrary.org/obo/UBERON_0004928,submucosa,AS
http://purl.obolibrary.org/obo/UBERON_0001680,lacrimal bone,AS
http://purl.org/sig/ont/fma/fma22817,palmar carpal branch of ulnar artery,AS
http://purl.obolibrary.org/obo/UBERON_0006656,deep dorsal vein of penis,AS
http://purl.org/sig/ont/fma/fma53282,auricular branch of posterior auricular nerve,AS
http://purl.org/sig/ont/fma/fma18652,hilum of ovary,AS
http://purl.obolibrary.org/obo/UBERON_0001429,pisiform,AS
http://purl.obolibrary.org/obo/UBERON_0009688,posterior inferior cerebellar artery,AS
http://purl.obolibrary.org/obo/UBERON_0002581,postcentral gyrus,AS
http://purl.org/sig/ont/fma/fma14745,left lumbar artery 4,AS
http://purl.obolibrary.org/obo/UBERON_0004242,bronchial smooth muscle,AS
http://purl.org/sig/ont/fma/fma14776,right gastric artery,AS
http://purl.obolibrary.org/obo/UBERON_0002007,medulla,AS
http://purl.obolibrary.org/obo/UBERON_0001778,ciliary epithelium,AS
http://purl.obolibrary.org/obo/UBERON_0001261,lamina propria of urinary bladder,AS
http://purl.org/sig/ont/fma/fma52638,frontal nerve,AS
http://purl.obolibrary.org/obo/UBERON_0007196,tracheobronchial tree,AS
http://purl.obolibrary.org/obo/UBERON_0002405,immune system of respiratory tract,AS
http://purl.obolibrary.org/obo/UBERON_0011532,pubovaginalis,AS
http://purl.obolibrary.org/obo/UBERON_0006093,precuneus,AS
