s_iri,relationship,t_iri
http://purl.obolibrary.org/obo/CL_0000359,located_in,https://purl.org/ccf/ASCTB-TEMP_vasa-recta-of-jejunum
http://identifiers.org/hgnc/3068,characterize,https://purl.org/ccf/ASCTB-TEMP_mature-cd8-t-cell
http://purl.org/sig/ont/fma/fma18832,part_of,http://purl.org/sig/ont/fma/fma69797
http://purl.obolibrary.org/obo/PCL_0015079,is_a,http://purl.obolibrary.org/obo/CL_0000000
http://purl.obolibrary.org/obo/CL_0000057,located_in,http://purl.obolibrary.org/obo/UBERON_0005436
https://purl.org/ccf/ASCTB-TEMP_splat346,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_secretory-epithelial-cell,located_in,https://purl.org/ccf/ASCTB-TEMP_mucosa-of-fallopian-tube-ampulla
http://purl.org/sig/ont/fma/fma53490,part_of,http://purl.obolibrary.org/obo/UBERON_0001649
http://identifiers.org/hgnc/4540,characterize,http://purl.obolibrary.org/obo/CL_0001203
https://purl.org/ccf/ASCTB-TEMP_cd294,characterize,http://purl.obolibrary.org/obo/CL_0000771
http://identifiers.org/hgnc/1706,characterize,http://purl.obolibrary.org/obo/CL_0009018
http://purl.obolibrary.org/obo/CL_0000359,located_in,http://purl.org/sig/ont/fma/fma50469
http://purl.obolibrary.org/obo/CL_0000935,located_in,http://purl.obolibrary.org/obo/UBERON_0001052
http://purl.obolibrary.org/obo/PCL_0015044,located_in,http://purl.obolibrary.org/obo/UBERON_0001870
http://purl.obolibrary.org/obo/UBERON_0006841,part_of,http://purl.obolibrary.org/obo/UBERON_0004647
http://purl.obolibrary.org/obo/PCL_0015023,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.org/sig/ont/fma/fma68848,part_of,http://purl.org/sig/ont/fma/fma9284
http://purl.obolibrary.org/obo/CL_0000359,located_in,http://purl.org/sig/ont/fma/fma22857
http://purl.obolibrary.org/obo/CL_0000136,located_in,http://purl.obolibrary.org/obo/UBERON_0009708
http://purl.obolibrary.org/obo/UBERON_0002506,part_of,http://purl.obolibrary.org/obo/UBERON_0001769
http://identifiers.org/hgnc/8518,characterize,https://purl.org/ccf/ASCTB-TEMP_splat381
http://purl.obolibrary.org/obo/UBERON_0002726,part_of,http://purl.obolibrary.org/obo/UBERON_0002240
http://purl.org/sig/ont/fma/fma52679,part_of,http://purl.org/sig/ont/fma/fma52675
http://purl.obolibrary.org/obo/CL_0001035,located_in,https://purl.org/ccf/ASCTB-TEMP_costal-groove-of-eighth-rib
https://purl.org/ccf/ASCTB-TEMP_splat350,located_in,http://purl.obolibrary.org/obo/UBERON_0002028
http://purl.obolibrary.org/obo/CL_0000094,located_in,http://purl.obolibrary.org/obo/UBERON_0000017
http://purl.org/sig/ont/fma/fma53250,part_of,http://purl.org/sig/ont/fma/fma53243
http://purl.obolibrary.org/obo/CL_0000540,located_in,http://purl.org/sig/ont/fma/fma65334
http://purl.obolibrary.org/obo/UBERON_0000320,part_of,http://purl.org/sig/ont/fma/fma7206
http://purl.obolibrary.org/obo/CL_0000071,located_in,http://purl.org/sig/ont/fma/fma50771
http://purl.obolibrary.org/obo/UBERON_0001375,part_of,https://purl.org/ccf/ASCTB-TEMP_posterior-compartment-of-thigh-muscle
https://purl.org/ccf/ASCTB-TEMP_nonmucinous-cuboidal-epithelial-cell,located_in,http://purl.obolibrary.org/obo/UBERON_0001069
http://identifiers.org/hgnc/13203,characterize,http://purl.obolibrary.org/obo/CL_0000844
http://purl.org/sig/ont/fma/fma53455,part_of,http://purl.org/sig/ont/fma/fma53401
http://purl.obolibrary.org/obo/CL_0000057,located_in,http://purl.obolibrary.org/obo/UBERON_0007315
https://purl.org/ccf/ASCTB-TEMP_head-of-fifth-distal-phalanx-of-foot,part_of,http://purl.obolibrary.org/obo/UBERON_0004319
https://purl.org/ccf/ASCTB-TEMP_cop38,located_in,http://purl.obolibrary.org/obo/UBERON_0000955
http://identifiers.org/hgnc/145,characterize,https://purl.org/ccf/ASCTB-TEMP_detrusor-smooth-muscle-cell-of-ureter
https://purl.org/ccf/ASCTB-TEMP_mge249,located_in,http://purl.obolibrary.org/obo/UBERON_0019264
https://purl.org/ccf/ASCTB-TEMP_lrl315,located_in,http://purl.obolibrary.org/obo/UBERON_0000988
http://identifiers.org/hgnc/11922,characterize,http://purl.obolibrary.org/obo/CL_0000786
http://purl.obolibrary.org/obo/CL_0002038,located_in,http://purl.obolibrary.org/obo/UBERON_8410052
http://purl.obolibrary.org/obo/CL_0002144,located_in,http://purl.obolibrary.org/obo/UBERON_0001183
http://purl.obolibrary.org/obo/CL_0000057,located_in,http://purl.obolibrary.org/obo/UBERON_0004928
http://purl.obolibrary.org/obo/UBERON_0001651,part_of,http://purl.obolibrary.org/obo/UBERON_0002333
http://purl.obolibrary.org/obo/CL_0000188,located_in,http://purl.obolibrary.org/obo/UBERON_0010928
http://purl.obolibrary.org/obo/PCL_0015045,located_in,http://purl.obolibrary.org/obo/UBERON_0019264
http://identifiers.org/hgnc/2336,characterize,http://purl.obolibrary.org/obo/CL_0000788
http://purl.obolibrary.org/obo/CL_0000540,located_in,http://purl.obolibrary.org/obo/UBERON_0030276
http://purl.obolibrary.org/obo/CL_0000057,located_in,http://purl.org/sig/ont/fma/fma14740
http://identifiers.org/hgnc/9446,characterize,https://purl.org/ccf/ASCTB-TEMP_splat367
http://purl.org/sig/ont/fma/fma77991,part_of,http://purl.obolibrary.org/obo/UBERON_0001649
https://purl.org/ccf/ASCTB-TEMP_ciliated-epithelial-cell,located_in,http://purl.obolibrary.org/obo/UBERON_0022355
http://purl.obolibrary.org/obo/CL_1000271,located_in,http://purl.obolibrary.org/obo/UBERON_0002187
https://purl.org/ccf/ASCTB-TEMP_secretory-epithelial-cell,located_in,https://purl.org/ccf/ASCTB-TEMP_plica-of-fallopian-tube-ampulla
http://purl.obolibrary.org/obo/CL_0000636,is_a,http://purl.obolibrary.org/obo/CL_0000540
http://purl.obolibrary.org/obo/CL_0000359,located_in,http://purl.obolibrary.org/obo/UBERON_0002333
https://purl.org/ccf/ASCTB-TEMP_basal-cell-of-bladder-urothelium,located_in,http://purl.obolibrary.org/obo/UBERON_0001255
http://identifiers.org/hgnc/6251,characterize,http://purl.obolibrary.org/obo/CL_0000764
http://purl.obolibrary.org/obo/CL_0017000,located_in,http://purl.obolibrary.org/obo/UBERON_0002340
http://purl.obolibrary.org/obo/CL_0000071,located_in,http://purl.obolibrary.org/obo/UBERON_0005464
https://purl.org/ccf/ASCTB-TEMP_chorionic-mesenchymal-stromal-cell-cmsc-,is_a,http://purl.obolibrary.org/obo/CL_0000000
http://purl.obolibrary.org/obo/CL_0001035,located_in,https://purl.org/ccf/ASCTB-TEMP_lamina-of-fourth-lumbar-vertebra
http://identifiers.org/hgnc/6024,characterize,http://purl.obolibrary.org/obo/CL_0000546
http://identifiers.org/hgnc/1346,characterize,https://purl.org/ccf/ASCTB-TEMP_fbl24
http://purl.obolibrary.org/obo/CL_0000312,located_in,http://purl.obolibrary.org/obo/UBERON_0001003
https://purl.org/ccf/ASCTB-TEMP_mediodorsal-nucleus-of-thalamus,part_of,http://purl.obolibrary.org/obo/UBERON_0004703
http://identifiers.org/hgnc/12513,characterize,http://purl.obolibrary.org/obo/CL_0000169
https://purl.org/ccf/ASCTB-TEMP_serosa,part_of,http://purl.org/sig/ont/fma/fma14930
http://identifiers.org/hgnc/5318,characterize,https://purl.org/ccf/ASCTB-TEMP_myofibroblast-cell-of-bladder
http://purl.obolibrary.org/obo/CL_0000057,located_in,http://purl.org/sig/ont/fma/fma14745
http://purl.obolibrary.org/obo/CL_0000503,located_in,https://purl.org/ccf/ASCTB-TEMP_early-antral-follicle
http://purl.obolibrary.org/obo/CL_0002063,located_in,http://purl.obolibrary.org/obo/UBERON_0002173
http://identifiers.org/hgnc/53007,characterize,https://purl.org/ccf/ASCTB-TEMP_fbl27
http://purl.obolibrary.org/obo/CL_0000788,located_in,https://purl.org/ccf/ASCTB-TEMP_sheathed-capillary
http://purl.obolibrary.org/obo/CL_4033028,is_a,http://purl.obolibrary.org/obo/CL_0000750
https://purl.org/ccf/ASCTB-TEMP_pdl1,characterize,https://purl.org/ccf/ASCTB-TEMP_nerve
http://purl.obolibrary.org/obo/UBERON_0003315,part_of,http://purl.obolibrary.org/obo/UBERON_0006960
http://purl.obolibrary.org/obo/CL_0000796,located_in,http://purl.obolibrary.org/obo/UBERON_0001052
http://purl.obolibrary.org/obo/CL_1000413,located_in,http://purl.obolibrary.org/obo/UBERON_0035040
http://identifiers.org/hgnc/6136,characterize,https://purl.org/ccf/ASCTB-TEMP_splat346
http://identifiers.org/hgnc/4453,characterize,http://purl.obolibrary.org/obo/PCL_0015059
http://purl.obolibrary.org/obo/CL_0001035,located_in,http://purl.obolibrary.org/obo/UBERON_0010853
https://purl.org/ccf/ASCTB-TEMP_astro64,located_in,http://purl.obolibrary.org/obo/UBERON_0001898
https://purl.org/ccf/ASCTB-TEMP_stroma-type-iii-cell,located_in,https://purl.org/ccf/ASCTB-TEMP_central-inferior-ovary
http://purl.obolibrary.org/obo/CL_0001035,located_in,https://purl.org/ccf/ASCTB-TEMP_tuberosity-of-navicular
http://purl.obolibrary.org/obo/CL_0000750,located_in,http://purl.obolibrary.org/obo/UBERON_0000970
http://identifiers.org/hgnc/8831,characterize,https://purl.org/ccf/ASCTB-TEMP_msn430
http://purl.obolibrary.org/obo/CL_0001035,located_in,https://purl.org/ccf/ASCTB-TEMP_lamina-of-sixth-thoracic-vertebra
